taskid,reference,category,ID
18-155771-134460,0,no_building_difficult,25
18-155772-134458,0,no_building_difficult,25
18-155771-134458,0,no_building_difficult,25
18-155771-134459,0,no_building_difficult,25
18-154989-139653,0,no_building_easy,26
18-154988-139651,0,no_building_easy,26
18-154989-139651,0,no_building_easy,26
18-154989-139652,0,no_building_easy,26
18-154988-139652,0,no_building_easy,26
18-154988-139653,0,no_building_easy,26
18-208810-119783,0,no_building_easy,27
18-208810-119781,0,no_building_easy,27
18-208809-119782,0,no_building_easy,27
18-208809-119783,0,no_building_easy,27
18-208809-119781,0,no_building_easy,27
18-208810-119782,0,no_building_easy,27
18-208633-119337,0,no_building_easy,28
18-208632-119337,0,no_building_easy,28
18-208632-119338,0,no_building_easy,28
18-208633-119338,0,no_building_easy,28
18-208632-119336,0,no_building_easy,28
18-208633-119336,0,no_building_easy,28
18-146343-142682,0,no_building_easy,29
18-146342-142680,0,no_building_easy,29
18-146342-142681,0,no_building_easy,29
18-146343-142680,0,no_building_easy,29
18-146343-142681,0,no_building_easy,29
18-146342-142682,0,no_building_easy,29
18-64999-120675,0,no_building_easy,30
18-64998-120676,0,no_building_easy,30
18-64999-120676,0,no_building_easy,30
18-64998-120674,0,no_building_easy,30
18-64998-120675,0,no_building_easy,30
18-64999-120674,0,no_building_easy,30
