project_id,group_id,number_of_tasks,finished_count,required_count,project_type_specifics
5519,227,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122904"", ""yMin"": ""122902"", ""zoomLevel"": 18}"
5519,244,32,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119490"", ""xMin"": ""119480"", ""yMax"": ""122892"", ""yMin"": ""122890"", ""zoomLevel"": 18}"
5519,163,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122952"", ""yMin"": ""122950"", ""zoomLevel"": 18}"
5519,250,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122886"", ""yMin"": ""122884"", ""zoomLevel"": 18}"
5519,134,243,10,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122973"", ""yMin"": ""122971"", ""zoomLevel"": 18}"
5519,123,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122982"", ""yMin"": ""122980"", ""zoomLevel"": 18}"
5519,224,45,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119494"", ""xMin"": ""119480"", ""yMax"": ""122907"", ""yMin"": ""122905"", ""zoomLevel"": 18}"
5519,174,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122943"", ""yMin"": ""122941"", ""zoomLevel"": 18}"
5519,242,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122892"", ""yMin"": ""122890"", ""zoomLevel"": 18}"
5519,217,107,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119284"", ""yMax"": ""122910"", ""yMin"": ""122908"", ""zoomLevel"": 18}"
