project_id,task_id,user_id,timeint,info
5519,18-119241-122937,jnx0QRMUkJfnX2HfKWbgBUaD5k12,1490903564182,"{""device"" : """", ""item"" : """", ""result"" : 0, ""wkt"" : ""POLYGON ((-16.247406005859375 11.101599196968124 0,-16.24603271484375 11.101599196968124 0,-16.24603271484375 11.100251600839371 0,-16.247406005859375 11.100251600839371 0,-16.247406005859375 11.101599196968124 0))""}"
5519,18-119241-122945,SMnDN3kWiUgCzkhUjAVtDGdjU0o1,1490901175571,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.247406005859375 11.090818253858302 0,-16.24603271484375 11.090818253858302 0,-16.24603271484375 11.089470608001065 0,-16.247406005859375 11.089470608001065 0,-16.247406005859375 11.090818253858302 0))""}"
5519,18-119241-122945,YX60DVVrXmg7T9tvk2lSA18tnm42,1490901307214,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.247406005859375 11.090818253858302 0,-16.24603271484375 11.090818253858302 0,-16.24603271484375 11.089470608001065 0,-16.247406005859375 11.089470608001065 0,-16.247406005859375 11.090818253858302 0))""}"
5519,18-119242-122937,jnx0QRMUkJfnX2HfKWbgBUaD5k12,1490903564183,"{""device"" : """", ""item"" : """", ""result"" : 0, ""wkt"" : ""POLYGON ((-16.24603271484375 11.101599196968124 0,-16.244659423828125 11.101599196968124 0,-16.244659423828125 11.100251600839371 0,-16.24603271484375 11.100251600839371 0,-16.24603271484375 11.101599196968124 0))""}"
5519,18-119242-122943,6XOqWS9281gyESEjP4uSoHSKeUj2,1491029510215,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.24603271484375 11.093513526931417 0,-16.244659423828125 11.093513526931417 0,-16.244659423828125 11.092165893501999 0,-16.24603271484375 11.092165893501999 0,-16.24603271484375 11.093513526931417 0))""}"
5519,18-119242-122945,RW9Z6uPMnLO9pcEkQKzWSNW5Hay2,1491091312147,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.24603271484375 11.090818253858302 0,-16.244659423828125 11.090818253858302 0,-16.244659423828125 11.089470608001065 0,-16.24603271484375 11.089470608001065 0,-16.24603271484375 11.090818253858302 0))""}"
5519,18-119243-122945,RW9Z6uPMnLO9pcEkQKzWSNW5Hay2,1491091312151,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.244659423828125 11.090818253858302 0,-16.2432861328125 11.090818253858302 0,-16.2432861328125 11.089470608001065 0,-16.244659423828125 11.089470608001065 0,-16.244659423828125 11.090818253858302 0))""}"
5519,18-119243-122946,YX60DVVrXmg7T9tvk2lSA18tnm42,1490901307215,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.244659423828125 11.089470608001065 0,-16.2432861328125 11.089470608001065 0,-16.2432861328125 11.08812295593097 0,-16.244659423828125 11.08812295593097 0,-16.244659423828125 11.089470608001065 0))""}"
5519,18-119248-122937,uKqXgzkaaWf0YGjLdlpEJG5LcFn2,1491078701217,"{""device"" : """", ""item"" : """", ""result"" : 0, ""wkt"" : ""POLYGON ((-16.23779296875 11.101599196968124 0,-16.236419677734375 11.101599196968124 0,-16.236419677734375 11.100251600839371 0,-16.23779296875 11.100251600839371 0,-16.23779296875 11.101599196968124 0))""}"
5519,18-119251-122934,13154q9TKgQ6zgnKKqkvMlrSSp73,1491096311585,"{""device"" : """", ""item"" : """", ""result"" : 0, ""wkt"" : ""POLYGON ((-16.233673095703125 11.105641948035739 0,-16.2322998046875 11.105641948035739 0,-16.2322998046875 11.104294370567018 0,-16.233673095703125 11.104294370567018 0,-16.233673095703125 11.105641948035739 0))""}"
5519,18-119252-122946,YX60DVVrXmg7T9tvk2lSA18tnm42,1490901307224,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.2322998046875 11.089470608001065 0,-16.230926513671875 11.089470608001065 0,-16.230926513671875 11.08812295593097 0,-16.2322998046875 11.08812295593097 0,-16.2322998046875 11.089470608001065 0))""}"
5519,18-119254-122944,RW9Z6uPMnLO9pcEkQKzWSNW5Hay2,1491091312152,"{""device"" : """", ""item"" : """", ""result"" : 0, ""wkt"" : ""POLYGON ((-16.22955322265625 11.092165893501999 0,-16.228179931640625 11.092165893501999 0,-16.228179931640625 11.090818253858302 0,-16.22955322265625 11.090818253858302 0,-16.22955322265625 11.092165893501999 0))""}"
5519,18-119255-122925,9S8rg9t6yLOapKDYgtdyeHiDAkq2,1490914147582,"{""device"" : """", ""item"" : """", ""result"" : 0, ""wkt"" : ""POLYGON ((-16.228179931640625 11.117769865203442 0,-16.226806640625 11.117769865203442 0,-16.226806640625 11.116422343753484 0,-16.228179931640625 11.116422343753484 0,-16.228179931640625 11.117769865203442 0))""}"
5519,18-119255-122925,ZOUjtZBzAGNV8bu04uNjOaDX5vY2,1490999104784,"{""device"" : """", ""item"" : """", ""result"" : 1, ""wkt"" : ""POLYGON ((-16.228179931640625 11.117769865203442 0,-16.226806640625 11.117769865203442 0,-16.226806640625 11.116422343753484 0,-16.228179931640625 11.116422343753484 0,-16.228179931640625 11.117769865203442 0))""}"
5519,18-119255-122928,tm1inpklFFbH5oUyIka5SSbMLYr2,1490906125974,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.228179931640625 11.113727282172746 0,-16.226806640625 11.113727282172746 0,-16.226806640625 11.112379742043416 0,-16.228179931640625 11.112379742043416 0,-16.228179931640625 11.113727282172746 0))""}"
5519,18-119255-122954,6XOqWS9281gyESEjP4uSoHSKeUj2,1491029126129,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.228179931640625 11.078689217541111 0,-16.226806640625 11.078689217541111 0,-16.226806640625 11.077341515794132 0,-16.228179931640625 11.077341515794132 0,-16.228179931640625 11.078689217541111 0))""}"
5519,18-119255-122954,qxd3oO8SjMgmYSsP9fItebGsAmj1,1491145816194,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.228179931640625 11.078689217541111 0,-16.226806640625 11.078689217541111 0,-16.226806640625 11.077341515794132 0,-16.228179931640625 11.077341515794132 0,-16.228179931640625 11.078689217541111 0))""}"
5519,18-119255-122965,oQSkQfQao3MdS0YeVh4vEH78gZx1,1491070158895,"{""device"" : """", ""item"" : """", ""result"" : 0, ""wkt"" : ""POLYGON ((-16.228179931640625 11.063864157091501 0,-16.226806640625 11.063864157091501 0,-16.226806640625 11.062516387113732 0,-16.228179931640625 11.062516387113732 0,-16.228179931640625 11.063864157091501 0))""}"
5519,18-119256-122928,tm1inpklFFbH5oUyIka5SSbMLYr2,1490906125997,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.226806640625 11.113727282172746 0,-16.225433349609375 11.113727282172746 0,-16.225433349609375 11.112379742043416 0,-16.226806640625 11.112379742043416 0,-16.226806640625 11.113727282172746 0))""}"
5519,18-119256-122957,RW9Z6uPMnLO9pcEkQKzWSNW5Hay2,1491048453680,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.226806640625 11.074646093681736 0,-16.225433349609375 11.074646093681736 0,-16.225433349609375 11.073298373317741 0,-16.226806640625 11.073298373317741 0,-16.226806640625 11.074646093681736 0))""}"
5519,18-119257-122927,tm1inpklFFbH5oUyIka5SSbMLYr2,1490906126010,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.225433349609375 11.11507481607633 0,-16.22406005859375 11.11507481607633 0,-16.22406005859375 11.113727282172746 0,-16.225433349609375 11.113727282172746 0,-16.225433349609375 11.11507481607633 0))""}"
5519,18-119257-122928,tm1inpklFFbH5oUyIka5SSbMLYr2,1490906125998,"{""device"" : """", ""item"" : """", ""result"" : 1, ""wkt"" : ""POLYGON ((-16.225433349609375 11.113727282172746 0,-16.22406005859375 11.113727282172746 0,-16.22406005859375 11.112379742043416 0,-16.225433349609375 11.112379742043416 0,-16.225433349609375 11.113727282172746 0))""}"
5519,18-119258-122926,tm1inpklFFbH5oUyIka5SSbMLYr2,1490906126022,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.22406005859375 11.116422343753484 0,-16.222686767578125 11.116422343753484 0,-16.222686767578125 11.11507481607633 0,-16.22406005859375 11.11507481607633 0,-16.22406005859375 11.116422343753484 0))""}"
5519,18-119258-122927,tm1inpklFFbH5oUyIka5SSbMLYr2,1490906126044,"{""device"" : """", ""item"" : """", ""result"" : 1, ""wkt"" : ""POLYGON ((-16.22406005859375 11.11507481607633 0,-16.222686767578125 11.11507481607633 0,-16.222686767578125 11.113727282172746 0,-16.22406005859375 11.113727282172746 0,-16.22406005859375 11.11507481607633 0))""}"
